#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	rel_flux_T76_n	rel_flux_err_T76_n	AIRMASS	Sky/Pixel_T1	Width_T1	tot_C_cnts	X(FITS)_T1	Y(FITS)_T1
2458242.840655	1.001666	0.001153	0.993675	0.004118	1.448275	1220.533997	14.145032	25687353.811134	1762.078752	2170.487457
2458242.841955	1.003905	0.001153	0.998480	0.004118	1.447178	1222.811275	14.741053	25619897.775659	1762.111503	2170.439298
2458242.843255	1.003871	0.001153	0.990014	0.004118	1.446198	1221.140876	14.893866	25589973.794284	1762.405840	2170.406698
2458242.844555	1.004210	0.001153	0.987040	0.004118	1.445332	1222.979003	14.800709	25595227.529146	1762.048127	2170.752533
2458242.845860	1.004108	0.001153	0.982998	0.004118	1.444580	1225.391850	14.302522	25647209.786860	1761.899526	2170.878420
2458242.847160	1.004006	0.001153	0.983227	0.004118	1.443945	1226.158570	14.372486	25666658.645626	1762.424686	2170.740520
2458242.848460	1.003922	0.001153	0.989786	0.004118	1.443425	1228.507618	14.533975	25636287.830038	1762.257394	2170.475640
2458242.849760	1.004430	0.001153	0.972168	0.004118	1.443019	1231.071465	14.490820	25630439.569437	1762.272919	2170.637899
2458242.851061	1.003142	0.001153	0.984523	0.004118	1.442726	1231.274969	14.228343	25703899.692210	1762.565078	2170.607823
2458242.852361	1.004447	0.001153	0.982007	0.004118	1.442549	1233.453701	14.405445	25661018.772090	1762.620217	2170.506081
2458242.853661	1.002531	0.001153	0.981549	0.004118	1.442485	1234.493926	14.567302	25627305.322952	1762.365250	2170.133714
2458242.854962	1.002650	0.001153	0.982922	0.004118	1.442535	1234.442668	14.237011	25694100.734902	1762.609698	2170.034543
2458242.856262	1.002667	0.001153	0.986582	0.004118	1.442699	1234.517514	14.298503	25672193.275935	1762.594358	2170.448572
2458242.857562	1.004481	0.001153	0.971558	0.004118	1.442977	1237.289602	14.885569	25594379.261260	1762.323310	2170.131390
2458242.858869	1.003396	0.001153	0.978880	0.004118	1.443371	1238.939394	14.556353	25633385.968701	1762.470687	2170.377450
2458242.860175	1.000225	0.001153	0.965914	0.004118	1.443881	1239.509634	14.244731	25700985.103726	1762.888653	2170.242066
2458242.861475	1.003396	0.001153	0.974532	0.004118	1.444503	1240.266296	14.493258	25664090.200523	1762.346246	2170.631620
2458242.862775	1.002056	0.001153	0.976973	0.004118	1.445239	1242.547299	14.844454	25612502.722577	1762.652606	2170.170886
2458242.864075	1.002395	0.001153	0.974761	0.004118	1.446091	1243.776465	14.633602	25643354.341882	1762.572637	2170.124915
2458242.865382	1.004142	0.001153	0.972626	0.004118	1.447064	1243.993297	14.754903	25617070.627178	1762.686895	2169.942344
2458242.866682	1.002005	0.001153	0.981015	0.004118	1.448147	1246.679902	15.234375	25553070.677634	1762.695490	2170.032147
2458242.867982	1.001412	0.001153	0.983379	0.004118	1.449347	1247.081378	14.768264	25620624.639505	1762.941343	2170.429676
2458242.869282	1.001751	0.001153	0.983837	0.004118	1.450664	1246.972792	14.788751	25652862.164017	1762.852280	2169.848586
2458242.870582	1.003074	0.001153	0.974837	0.004118	1.452097	1250.442355	14.731347	25644794.991111	1762.715570	2170.085842
2458242.871882	1.005566	0.001153	0.981320	0.004118	1.453649	1252.329500	14.929940	25602944.390595	1763.014057	2170.438909
2458242.873182	1.003192	0.001153	0.968355	0.004118	1.455319	1252.871446	14.750037	25602636.039957	1762.949164	2170.476565
2458242.874482	1.003532	0.001170	0.973388	0.004118	1.457108	1252.105730	14.866490	25569463.865607	1762.484155	2170.166307
2458242.875781	1.005872	0.001153	0.979261	0.004118	1.459016	1254.777778	14.862082	25586852.384582	1762.652204	2170.467077
2458242.877082	1.003854	0.001170	0.979642	0.004118	1.461047	1258.025519	15.025089	25550997.575067	1763.054492	2170.493236
2458242.878382	1.003616	0.001153	0.983989	0.004118	1.463198	1258.423589	14.516823	25639034.134088	1763.242434	2170.076789
2458242.879683	1.003142	0.001153	0.985362	0.004118	1.465473	1260.396222	14.527840	25620655.140149	1763.076583	2170.527975
2458242.880983	1.001361	0.001153	0.975371	0.004118	1.467871	1262.821514	14.519836	25643489.485492	1763.402169	2170.284903
2458242.882283	1.002701	0.001153	0.976897	0.004118	1.470393	1264.115260	14.376555	25649237.958698	1763.003049	2170.138501
2458242.883584	1.003718	0.001170	0.980710	0.004195	1.473042	1265.997768	14.568110	25600834.818928	1762.738047	2170.813384
2458242.884932	1.006584	0.001153	0.985515	0.004118	1.475921	1264.836438	14.412483	25606426.977502	1763.096408	2170.442739
2458242.886240	1.006635	0.001170	0.978498	0.004195	1.478845	1265.434141	14.506727	25593734.344930	1763.138090	2170.216295
2458242.887546	1.001327	0.001153	0.973312	0.004118	1.481896	1269.908382	14.532669	25615240.867788	1762.835045	2170.379839
2458242.888856	1.005566	0.001170	0.979261	0.004195	1.485088	1270.070734	14.590386	25592178.304619	1763.313146	2169.898449
2458242.890156	1.006160	0.001170	0.984066	0.004195	1.488389	1272.638875	15.090316	25485509.473041	1763.537421	2170.725365
2458242.891456	1.005346	0.001170	0.986735	0.004195	1.491823	1273.544103	14.671303	25561856.008807	1763.117522	2170.323932
2458242.892757	1.003955	0.001170	0.973465	0.004195	1.495394	1275.446990	14.718818	25529459.893993	1763.260031	2169.962147
2458242.894057	1.003057	0.001170	0.975066	0.004195	1.499099	1276.075310	14.857328	25514612.805123	1763.541948	2169.809177
2458242.895357	1.003243	0.001170	0.979261	0.004195	1.502942	1277.508585	14.787821	25539178.582537	1763.022110	2170.301957
2458242.896658	1.001785	0.001170	0.980024	0.004195	1.506926	1278.808242	14.816771	25503010.926938	1763.308275	2170.694544
2458242.897959	1.002785	0.001170	0.978117	0.004195	1.511052	1279.790599	15.095929	25500253.853906	1763.418588	2170.653110
2458242.899259	1.000649	0.001170	0.981091	0.004195	1.515321	1281.471040	14.992787	25491800.852261	1763.179777	2170.519666
2458242.900559	1.000818	0.001170	0.992455	0.004195	1.519733	1283.942475	14.820709	25489340.467839	1763.384368	2170.682306
2458242.901859	1.003837	0.001170	0.978117	0.004195	1.524294	1288.855140	15.053006	25447923.120799	1763.409731	2171.042223
2458242.903159	1.002684	0.001170	0.973999	0.004195	1.529005	1289.376989	14.726421	25504446.542455	1763.385786	2170.620654
2458242.904461	1.004549	0.001170	0.977431	0.004195	1.533871	1290.016920	14.515224	25494807.432619	1763.422100	2170.666656
2458242.905761	1.004956	0.001170	0.983074	0.004195	1.538888	1293.869758	14.867979	25438003.608388	1763.657082	2170.680357
2458242.907070	1.002853	0.001170	0.974609	0.004195	1.544095	1295.405833	15.127536	25421496.256446	1764.062029	2171.374093
2458242.908370	1.002768	0.001170	0.980863	0.004195	1.549428	1299.054510	14.694869	25497401.350970	1763.790238	2171.052593
2458242.909670	1.003938	0.001170	0.982159	0.004195	1.554922	1303.136095	14.610772	25463629.644907	1763.929600	2170.209608
2458242.910970	1.001327	0.001170	0.973922	0.004195	1.560580	1306.726767	14.496164	25448740.067525	1763.676481	2170.869954
2458242.912271	1.004651	0.001187	0.989252	0.004271	1.566405	1309.100169	14.700627	25408049.392196	1763.935926	2170.363910
2458242.913571	1.000802	0.001187	0.984295	0.004271	1.572402	1312.962598	14.972400	25372187.367863	1763.950805	2170.870842
2458242.914872	1.000886	0.001187	0.980863	0.004271	1.578571	1312.929523	14.960658	25363471.060147	1764.051446	2170.445310
2458242.916172	1.004193	0.001187	0.975753	0.004271	1.584915	1313.523704	14.721904	25402805.941839	1763.795369	2170.873189
2458242.917473	1.001887	0.001187	0.987726	0.004271	1.591438	1319.062265	14.662285	25379697.160445	1764.195088	2170.917959
2458242.918773	0.999208	0.001187	0.986811	0.004271	1.598143	1324.501088	15.010911	25320487.417681	1763.833262	2171.009333
2458242.920073	1.000327	0.001187	0.987803	0.004271	1.605035	1323.944052	15.135057	25355554.849833	1764.486561	2171.334976
2458242.921372	1.002311	0.001187	0.994285	0.004271	1.612108	1327.478081	14.958877	25319064.175750	1764.096006	2170.461560
2458242.922674	1.003125	0.001187	0.989862	0.004271	1.619386	1329.537672	15.013607	25271130.812933	1763.998079	2170.933675
2458242.923974	1.003515	0.001187	0.997946	0.004271	1.626858	1330.131624	15.242213	25209690.678211	1763.603667	2171.134703
2458242.925274	1.002429	0.001187	1.000692	0.004347	1.634531	1333.267699	15.532855	25155112.705997	1764.247137	2171.055708
2458242.926575	1.002192	0.001187	0.993294	0.004271	1.642412	1335.480507	14.977407	25253038.198089	1764.163274	2170.908791
2458242.927881	0.999581	0.001187	1.009310	0.004347	1.650534	1336.523564	15.146071	25217938.262890	1764.095123	2171.030996
2458242.929182	1.004413	0.001204	1.008318	0.004347	1.658837	1340.670559	15.148138	25171503.303156	1764.272404	2170.724852
2458242.930482	0.999157	0.001204	1.004276	0.004347	1.667358	1343.954756	15.566415	25133551.991005	1764.345915	2170.308217
2458242.931783	1.002650	0.001204	1.012437	0.004347	1.676105	1346.836165	15.453135	25103324.454673	1764.265827	2170.990530
2458242.933083	1.001649	0.001204	1.002065	0.004347	1.685080	1348.078106	15.389650	25100211.787609	1764.595300	2170.220803
2458242.934384	1.000802	0.001204	1.011293	0.004347	1.694287	1355.309045	16.014292	25019643.618851	1765.190345	2170.920878
2458242.935684	1.000649	0.001204	1.006641	0.004347	1.703735	1358.964942	15.377581	25113169.729791	1764.407187	2171.111614
2458242.936992	0.998275	0.001204	1.015945	0.004423	1.713484	1361.025173	15.821823	24963032.637604	1764.248853	2170.363194
2458242.938292	1.002056	0.001204	1.011903	0.004347	1.723426	1365.951442	15.939297	24982566.111466	1764.503700	2170.835051
2458242.939593	1.002260	0.001221	1.013505	0.004423	1.733634	1374.109616	15.719051	24988349.005782	1764.543275	2169.956265
2458242.940893	1.000547	0.001221	1.027156	0.004423	1.744096	1382.059324	15.992600	24828110.855113	1764.204552	2170.794769
2458242.942193	1.002395	0.001221	1.012666	0.004423	1.754830	1383.042616	16.190184	24853484.789099	1764.587961	2170.983711
2458242.943494	1.000039	0.001221	1.019758	0.004423	1.765851	1388.923781	16.082003	24845577.195256	1764.714831	2171.101184
2458242.944794	1.002785	0.001221	1.008318	0.004423	1.777149	1394.487491	16.153460	24824514.152193	1764.548309	2170.786625
2458242.946095	1.000496	0.001221	1.016631	0.004500	1.788740	1402.872727	16.030483	24778589.425238	1764.876121	2171.320945
2458242.947400	0.999750	0.001238	1.012208	0.004500	1.800675	1409.600507	15.818899	24775039.875624	1764.983114	2170.751886
2458242.948700	0.998512	0.001238	1.019377	0.004500	1.812874	1418.477734	16.072164	24737220.623294	1765.242510	2171.064040
2458242.950001	1.003989	0.001238	1.017928	0.004576	1.825386	1425.591127	16.490050	24572921.128192	1764.873906	2170.976512
2458242.951301	1.001853	0.001238	1.027385	0.004500	1.838227	1431.416398	16.240941	24651912.397801	1765.055045	2171.060096
2458242.952601	1.002412	0.001238	1.022199	0.004576	1.851395	1437.991940	16.152303	24643901.279933	1764.890300	2170.657845
2458242.953901	1.000751	0.001255	1.016326	0.004576	1.864912	1444.359466	16.591579	24529052.212557	1764.612860	2171.629739
2458242.955201	1.000123	0.001255	1.023495	0.004576	1.878779	1447.456613	16.557940	24505425.918224	1765.033590	2170.638858
2458242.956501	0.997359	0.001255	1.017699	0.004576	1.893011	1453.151246	16.660753	24489845.377853	1765.033255	2171.344653
