GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8539.984253 1.000288 0.005419 1.1330 136.9 -1.861 0.090 5.27 6584.0 MSCT1_1902250219
8539.984612 1.005016 0.015834 1.1319 200.8 -2.545 -0.537 5.01 2644.0 MSCT1_1902250220
8539.984983 1.009272 0.005717 1.1310 139.1 -1.233 0.260 4.42 9130.0 MSCT1_1902250221
8539.985353 1.004709 0.005986 1.1299 139.2 -0.391 0.171 5.08 7671.0 MSCT1_1902250222
8539.985712 0.982625 0.007972 1.1289 153.9 -0.891 -0.893 4.92 5472.0 MSCT1_1902250223
8539.986082 0.996100 0.006900 1.1278 148.3 0.306 -0.548 5.54 5272.0 MSCT1_1902250224
8539.986453 1.028203 0.005997 1.1270 139.4 0.778 -1.046 4.48 7636.0 MSCT1_1902250225
8539.986811 0.970033 0.008276 1.1259 165.4 0.100 -1.033 5.45 4248.0 MSCT1_1902250226
8539.987182 1.005703 0.017512 1.1249 187.9 -1.205 -0.859 5.24 2139.0 MSCT1_1902250227
8539.987541 1.038707 0.054559 1.1240 232.4 0.771 -0.113 5.62 854.0 MSCT1_1902250228
8539.987911 1.045145 0.027342 1.1230 214.6 0.034 1.111 5.89 1229.0 MSCT1_1902250229
8539.989381 1.068433 0.085895 1.1192 256.0 4.488 0.939 5.81 790.0 MSCT1_1902250233
8539.989740 1.041927 0.009552 1.1182 160.6 5.320 -0.594 6.59 2906.0 MSCT1_1902250234
8539.990110 0.996427 0.005154 1.1174 123.9 1.194 0.701 7.23 4903.0 MSCT1_1902250235
8539.990480 0.994342 0.005261 1.1165 121.9 -2.714 -0.359 5.83 6016.0 MSCT1_1902250236
8539.990839 1.014015 0.005353 1.1155 122.7 -1.325 -1.058 5.44 6334.0 MSCT1_1902250237
8539.991209 0.999462 0.005261 1.1147 122.0 -1.573 -0.362 4.67 9287.0 MSCT1_1902250238
8539.991580 0.994406 0.005511 1.1138 125.3 -0.929 0.304 4.63 8142.0 MSCT1_1902250239
8539.991939 0.985137 0.005715 1.1128 127.8 -0.297 -0.284 5.23 6895.0 MSCT1_1902250240
8539.992309 0.987527 0.005420 1.1119 128.3 0.047 -0.976 4.28 9747.0 MSCT1_1902250241
8539.992679 1.001156 0.004983 1.1111 121.6 0.602 -0.817 4.66 10072.0 MSCT1_1902250242
8539.993038 0.997136 0.004913 1.1102 119.8 -0.417 -0.358 5.61 7267.0 MSCT1_1902250243
8539.993409 0.990343 0.005017 1.1093 122.7 -2.619 0.336 4.89 8782.0 MSCT1_1902250244
8539.993779 1.009285 0.006719 1.1085 135.7 -2.504 -0.997 4.88 6573.0 MSCT1_1902250245
8539.994138 1.002473 0.008488 1.1076 153.7 -1.399 0.502 5.30 4611.0 MSCT1_1902250246
8539.994878 0.983117 0.018145 1.1060 210.3 -1.214 0.228 4.97 2435.0 MSCT1_1902250248
8539.995237 0.981875 0.007735 1.1051 226.1 1.148 1.041 5.28 4810.0 MSCT1_1902250249
8539.995608 1.016117 0.006094 1.1042 163.0 -1.634 -0.383 7.72 3281.0 MSCT1_1902250250
8539.995978 0.993943 0.005555 1.1034 135.2 -0.301 -1.585 6.98 4452.0 MSCT1_1902250251
8539.996337 0.993679 0.005232 1.1026 125.7 -1.324 0.169 5.79 7261.0 MSCT1_1902250252
8539.996707 1.001668 0.005107 1.1018 121.0 -0.907 -1.092 5.30 7542.0 MSCT1_1902250253
8539.997066 0.999244 0.004964 1.1009 117.8 -2.630 0.160 4.92 8321.0 MSCT1_1902250254
8539.997436 0.993018 0.004956 1.1002 114.0 0.187 0.447 6.27 5809.0 MSCT1_1902250255
8539.997807 0.997774 0.005058 1.0994 113.1 -1.998 0.634 6.28 5513.0 MSCT1_1902250256
8539.998166 0.994970 0.004830 1.0985 107.9 -2.124 -0.104 5.59 7588.0 MSCT1_1902250257
8539.998536 0.982366 0.004787 1.0978 108.0 -2.271 0.212 5.09 8320.0 MSCT1_1902250258
8539.998906 1.002388 0.004929 1.0970 108.5 -1.259 -0.517 5.26 8283.0 MSCT1_1902250259
8539.999265 0.986034 0.010033 1.0962 141.0 0.306 -0.467 5.28 3974.0 MSCT1_1902250260
8539.999635 0.972652 0.007598 1.0954 128.5 0.337 0.762 5.19 4740.0 MSCT1_1902250261
8540.000006 0.992265 0.005319 1.0947 112.1 -0.478 -0.323 5.33 6648.0 MSCT1_1902250262
8540.000365 1.000600 0.004970 1.0939 106.3 -1.885 -1.375 5.53 7807.0 MSCT1_1902250263
8540.000735 0.994244 0.004929 1.0931 105.1 -3.282 -0.491 5.00 8889.0 MSCT1_1902250264
8540.001105 0.993273 0.004796 1.0925 103.6 -0.917 -0.392 5.32 8033.0 MSCT1_1902250265
8540.001464 0.998211 0.004843 1.0917 102.4 0.072 -0.453 5.93 6318.0 MSCT1_1902250266
8540.001834 0.996824 0.004801 1.0909 102.8 -1.492 0.023 5.46 8181.0 MSCT1_1902250267
8540.002205 0.996037 0.004897 1.0902 103.9 -1.513 -0.719 5.25 7507.0 MSCT1_1902250268
8540.002564 0.991286 0.005020 1.0895 105.9 -2.040 -0.274 5.37 7220.0 MSCT1_1902250269
8540.002934 0.999279 0.005133 1.0888 106.0 -0.341 -0.078 5.29 7293.0 MSCT1_1902250270
8540.003293 0.996100 0.005276 1.0880 107.2 -1.615 -0.068 5.48 7019.0 MSCT1_1902250271
8540.003663 0.983317 0.005755 1.0874 113.6 -1.559 -0.212 5.43 6714.0 MSCT1_1902250272
8540.004034 0.986263 0.005082 1.0867 107.5 0.153 0.608 4.92 8324.0 MSCT1_1902250273
8540.004392 0.988366 0.008416 1.0859 123.1 -0.206 -0.166 4.83 5020.0 MSCT1_1902250274
8540.004763 0.974401 0.006883 1.0853 118.2 0.744 -0.068 5.04 5220.0 MSCT1_1902250275
