GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8539.980966 0.999314 0.002843 1.1424 1012.8 -0.900 0.869 6.13 22345.0 MSCT0_1902250210
8539.981337 0.998179 0.002872 1.1412 1017.1 -0.889 0.425 6.23 23815.0 MSCT0_1902250211
8539.981696 1.001117 0.002944 1.1403 1034.0 -0.577 0.571 5.46 26140.0 MSCT0_1902250212
8539.982066 0.997443 0.003642 1.1392 1117.8 1.017 -0.052 5.89 19642.0 MSCT0_1902250213
8539.982436 1.007985 0.005068 1.1381 1265.3 0.731 0.040 6.17 12999.0 MSCT0_1902250214
8539.982795 0.984366 0.015326 1.1371 1672.0 2.102 -0.549 5.38 6541.0 MSCT0_1902250215
8539.983166 1.020896 0.003709 1.1361 1154.8 2.497 -0.086 5.47 22794.0 MSCT0_1902250216
8539.983536 0.999906 0.003009 1.1349 1064.6 2.378 -1.003 5.58 25008.0 MSCT0_1902250217
8539.983895 0.994250 0.003009 1.1339 1062.8 1.919 -0.021 5.54 26212.0 MSCT0_1902250218
8539.984265 0.993380 0.003099 1.1330 1075.9 -0.105 0.266 5.88 23278.0 MSCT0_1902250219
8539.984635 1.003979 0.009425 1.1319 1531.7 -0.722 0.122 5.04 10305.0 MSCT0_1902250220
8539.984994 0.993023 0.003194 1.1308 1088.7 -0.576 1.712 5.04 31419.0 MSCT0_1902250221
8539.985365 0.997396 0.003461 1.1299 1098.2 1.390 -0.936 5.22 26482.0 MSCT0_1902250222
8539.985735 0.989486 0.004596 1.1289 1199.3 0.977 -0.210 5.31 19364.0 MSCT0_1902250223
8539.986094 0.991419 0.003781 1.1278 1134.5 2.317 0.283 5.58 20127.0 MSCT0_1902250224
8539.986464 1.012257 0.003299 1.1270 1075.4 2.988 -0.147 5.14 27784.0 MSCT0_1902250225
8539.986834 0.968006 0.005000 1.1259 1281.1 0.496 -0.100 5.70 14660.0 MSCT0_1902250226
8539.987193 1.038500 0.010485 1.1249 1423.6 0.566 0.282 5.63 8071.0 MSCT0_1902250227
8539.987564 1.026878 0.026944 1.1239 1693.3 1.862 -0.268 5.50 4231.0 MSCT0_1902250228
8539.987934 1.018621 0.018510 1.1230 1633.5 0.906 1.565 6.43 4670.0 MSCT0_1902250229
8539.989034 3.242188 229.257306 1.1202 2117.8 -0.307 -0.000 0.00 2199.0 MSCT0_1902250232
8539.989392 1.004239 0.036196 1.1192 1936.2 5.334 -0.997 4.90 4407.0 MSCT0_1902250233
8539.989763 1.006267 0.005132 1.1182 1211.0 6.197 0.121 6.60 10626.0 MSCT0_1902250234
8539.990133 0.998993 0.002801 1.1173 937.5 2.076 1.248 7.22 18619.0 MSCT0_1902250235
8539.990492 0.993752 0.002826 1.1165 931.0 0.387 0.247 6.06 23623.0 MSCT0_1902250236
8539.990862 1.005876 0.002899 1.1155 931.0 0.657 -0.470 5.79 23859.0 MSCT0_1902250237
8539.991233 0.996170 0.002873 1.1145 938.8 -0.976 0.168 5.02 32347.0 MSCT0_1902250238
8539.991591 0.998625 0.003062 1.1138 962.5 0.446 0.745 5.50 27411.0 MSCT0_1902250239
8539.991962 0.984730 0.003149 1.1128 971.5 0.960 0.059 5.62 25611.0 MSCT0_1902250240
8539.992332 0.983612 0.002985 1.1119 973.3 1.499 0.302 4.59 35440.0 MSCT0_1902250241
8539.992691 0.993194 0.002703 1.1110 917.4 2.964 0.963 4.86 37246.0 MSCT0_1902250242
8539.993061 0.994838 0.002638 1.1102 904.0 1.772 0.655 5.77 27185.0 MSCT0_1902250243
8539.993420 1.000000 0.002757 1.1093 936.7 -0.818 0.178 4.88 34461.0 MSCT0_1902250244
