# GJD-2450000 flux err airmass sky dx dy baserun
8208.017112 0.997325 0.012666 1.0979 975.0 -1.806 -0.718 MSCT2_1803300196
8208.017737 0.998723 0.012636 1.0992 973.8 -2.527 0.156 MSCT2_1803300197
8208.018351 1.002039 0.012530 1.1004 980.6 -2.693 0.668 MSCT2_1803300198
8208.018964 1.014665 0.013213 1.1017 1017.5 -1.154 0.827 MSCT2_1803300199
8208.019578 1.025065 0.013075 1.1029 1007.0 -1.399 0.996 MSCT2_1803300200
8208.020191 1.019944 0.013120 1.1042 1029.8 -2.785 -0.525 MSCT2_1803300201
8208.020804 0.988158 0.012815 1.1054 992.7 -3.321 0.669 MSCT2_1803300202
8208.021429 1.008765 0.012906 1.1069 988.9 -1.278 -0.628 MSCT2_1803300203
8208.022043 1.007239 0.012721 1.1082 986.4 -1.998 -0.462 MSCT2_1803300204
8208.022668 1.000903 0.012710 1.1095 990.0 -2.010 -0.167 MSCT2_1803300205
8208.023304 1.031951 0.012956 1.1110 992.3 -2.891 1.638 MSCT2_1803300206
8208.023918 1.001019 0.012745 1.1123 993.6 -1.253 -0.927 MSCT2_1803300207
8208.024520 0.998583 0.012769 1.1137 993.6 -0.749 -0.154 MSCT2_1803300208
8208.025145 1.024187 0.013110 1.1151 997.1 -1.926 -0.382 MSCT2_1803300209
8208.025758 1.012843 0.012975 1.1166 994.5 -1.897 1.121 MSCT2_1803300210
8208.026372 0.521172 0.011432 1.1180 993.4 -3.726 -0.855 MSCT2_1803300211
8208.026985 0.991803 0.012904 1.1195 990.0 -3.892 0.093 MSCT2_1803300212
8208.027598 0.991830 0.012672 1.1209 989.4 0.019 0.196 MSCT2_1803300213
8208.028212 0.990859 0.012817 1.1224 1014.7 0.199 1.022 MSCT2_1803300214
8208.028825 1.017285 0.012966 1.1239 1017.9 -1.630 -1.309 MSCT2_1803300215
8208.029439 1.012141 0.012676 1.1254 996.3 -1.565 -0.725 MSCT2_1803300216
8208.030064 1.005515 0.012721 1.1271 997.1 -2.740 0.172 MSCT2_1803300217
8208.030677 1.003601 0.013158 1.1287 1060.5 -3.707 0.574 MSCT2_1803300218
8208.031302 1.021749 0.013202 1.1302 1035.6 0.079 -0.045 MSCT2_1803300219
8208.031916 1.029268 0.012879 1.1318 1004.6 -0.685 0.567 MSCT2_1803300220
8208.032517 1.025202 0.012842 1.1334 1003.5 -1.645 0.561 MSCT2_1803300221
8208.033131 1.003778 0.012525 1.1351 1008.4 -2.063 0.317 MSCT2_1803300222
8208.033733 1.028112 0.012877 1.1367 1007.0 -2.478 -0.215 MSCT2_1803300223
8208.034346 1.003014 0.012868 1.1385 1001.1 -2.049 0.646 MSCT2_1803300224
8208.034959 1.002245 0.012898 1.1402 998.6 -2.388 1.129 MSCT2_1803300225
8208.035573 1.002216 0.012777 1.1419 1004.4 -2.988 1.503 MSCT2_1803300226
8208.036186 0.988817 0.012755 1.1436 1015.1 -0.235 -0.416 MSCT2_1803300227
8208.036823 0.999769 0.012898 1.1455 1007.0 -0.906 -0.566 MSCT2_1803300228
8208.037436 1.004214 0.012791 1.1472 1006.6 -1.887 0.062 MSCT2_1803300229
8208.038050 1.018878 0.012897 1.1490 1007.3 -1.835 0.884 MSCT2_1803300230
8208.038663 1.002012 0.012777 1.1508 1008.2 -2.066 0.174 MSCT2_1803300231
8208.039277 1.008267 0.012779 1.1526 1005.7 -2.414 0.491 MSCT2_1803300232
8208.039890 1.042203 0.012998 1.1546 1006.7 -0.300 -0.348 MSCT2_1803300233
8208.040492 1.001036 0.012749 1.1564 1007.8 -0.558 -0.893 MSCT2_1803300234
8208.041105 1.000374 0.012752 1.1583 1008.4 -0.934 0.300 MSCT2_1803300235
8208.041719 1.012482 0.012971 1.1602 1007.8 -1.893 0.764 MSCT2_1803300236
8208.042332 0.993427 0.012913 1.1621 1011.7 -2.750 -0.085 MSCT2_1803300237
8208.042934 1.010735 0.012945 1.1640 1012.2 -2.037 0.786 MSCT2_1803300238
8208.043547 0.996063 0.012673 1.1660 1013.5 -2.832 -0.581 MSCT2_1803300239
8208.044149 1.015042 0.012951 1.1679 1009.1 -2.829 0.489 MSCT2_1803300240
8208.044763 1.029533 0.013135 1.1699 1009.7 -0.192 -1.327 MSCT2_1803300241
8208.045388 1.007901 0.012844 1.1721 1007.9 -1.573 -1.240 MSCT2_1803300242
